x,y
3.375536963044051819e-01,-2.924087931811190644e-01
3.065454741384112114e-01,9.237968029166372386e-01
-7.628811908874466585e-01,4.692643012812307557e-01
-6.827201842956046041e-02,-4.149669456753199981e-01
-7.427172754894674489e-02,-4.970504177456666617e-01
1.762106968137178709e-01,1.040118771848771662e+00
3.985923186107382943e-01,2.678963499204584653e-01
1.898546110115082453e-01,-1.009457422773887725e+00
-8.239620952725279501e-01,5.829976427890852797e-01
-8.310566990849197477e-01,-6.214200390116653150e-01
-4.102266030579796441e-01,-3.201571461346932046e-01
6.444495777512798673e-01,-7.005596706003245355e-01
-1.047842773593827159e+00,6.680999873856056925e-02
-4.867693741507281846e-01,8.616408795538683663e-01
1.938653828091735365e-02,4.729559706682618936e-01
4.786121492012692102e-01,-3.227438272928114249e-01
4.102337626441460716e-01,3.342303136987139212e-01
5.022499289413928647e-01,1.739265896713916570e-01
6.001241156990808623e-01,8.622651777029286535e-01
-8.056124554196846255e-01,5.667764394630112612e-01
-4.481451737574022598e-01,8.620579893008880612e-01
1.955246666191045313e-01,-5.287513709040375653e-01
-1.489392289426716975e-01,4.053542316201244611e-01
-4.430687962458932927e-01,-1.521997990043231497e-01
-7.224609489982012356e-01,-5.927376284046140809e-01
1.081965774605804675e+00,1.936609304727085479e-02
-2.335270717911503702e-01,3.905128746535838635e-01
-4.259838011087502263e-01,3.103695668789269169e-01
7.735816986273430507e-02,1.043260923613234414e+00
-6.495470280258626161e-01,-8.091146019248480759e-01
-1.142741181543886486e-01,-3.977951649338282158e-01
5.613050031945497897e-01,-1.265492689877382448e-01
2.304615953056682598e-01,-4.438880662380276232e-01
9.987011878955612820e-01,-2.197976522488719053e-01
1.593484296656766386e-01,-9.123826295105169626e-01
4.107958966563379222e-01,2.850308140585294803e-01
1.842865761659508717e-01,-3.922765234884130758e-01
-1.844410992084504486e-01,4.574431670204943123e-01
1.132409591663095516e-01,-9.580125358236500910e-01
-2.661805755967386333e-02,-1.004237395000390443e+00
6.964956913598826516e-01,6.112653472920274167e-01
-4.422730344478901787e-01,-3.821225193032147249e-01
-3.101032174218321669e-01,5.223443376110474823e-01
-1.336434726053321517e-02,4.809525679315390656e-01
-8.812218307621644264e-01,4.701599718187592925e-01
-9.497372216616952745e-01,9.664378971746276359e-02
-4.585503141968841900e-01,8.909618814821054222e-01
1.587550295694910296e-01,-4.760055827000038153e-01
-7.782541476036010097e-01,-5.593943354418177138e-01
1.026842028524302286e+00,6.060631217921558234e-02
4.555914719548089797e-01,2.195509291758122594e-01
-3.206895643852245570e-01,-4.448132363897787100e-01
3.683339771991654965e-01,-9.448035842338720069e-01
-9.605443060663068078e-01,-1.399007002069055372e-02
-7.790208345784956911e-01,6.665910128531680190e-01
4.043197501555884088e-01,3.442731697764172538e-01
-1.878489449620090734e-01,-4.707920595284343368e-01
6.155699891030281812e-01,7.549296485594134687e-01
2.227886195399740032e-01,5.023536332823501649e-01
9.471062861019160506e-01,1.505052266335146494e-01
-1.096539793743221525e+00,9.135184393271224279e-02
9.621189020147036253e-02,5.141870306037777949e-01
-4.997236615828500872e-01,-2.514666958803885577e-01
5.580609672415871580e-01,8.382818267745011376e-01
-2.611410457906264693e-01,4.041208356794794287e-01
-4.708020328317522596e-01,-3.362719933459641375e-01
-9.334504112133807929e-01,-4.945554961006049521e-01
-3.454117182917801898e-01,-3.908883273368678468e-01
4.227681917907894493e-01,-1.443588439939474943e-01
5.590424793755363053e-01,4.412583488807554633e-02
-4.796804704331334990e-01,9.960563047128644099e-02
5.657769503825380575e-01,-3.305524285334645040e-01
-9.669891773276109159e-01,-2.674165678708362859e-01
8.467346172757849176e-01,5.406036114886565436e-01
3.525751535828033911e-01,1.038409957128350936e+00
9.246752799440143278e-01,3.049805077841918344e-01
3.441692129000020195e-01,2.161162860245359196e-01
-5.473886262658456126e-01,9.058372004282777556e-01
-9.827198257219724731e-01,-1.990329423295209565e-01
9.742864852590744640e-01,-2.673341149927759841e-01
-9.375600918998476807e-01,3.752365491828803523e-01
-2.712224098702413766e-01,4.524477246026351041e-01
-4.332811785607085242e-01,-3.149923210140010976e-01
-9.937740872747002907e-02,4.899505168396184329e-01
9.493431438082157170e-01,3.904868259309204337e-01
-3.935500549271219728e-01,2.083895612181116408e-01
-5.291787676219890102e-01,-8.250827793776523145e-02
7.408524652644584707e-01,-7.401382695155273028e-01
-1.042499877244972284e+00,-2.480889640695971843e-01
-2.453704910894707603e-01,1.013239650746050380e+00
-1.853147092886601177e-01,4.842727616671376745e-01
3.889105808425167288e-01,3.714256781608460400e-02
3.697658528533435129e-01,9.773941183874106375e-01
-1.914937905119034611e-01,3.970739102160192324e-01
2.106253984703565785e-01,-4.460604140693928965e-01
7.111001097684275241e-01,7.938041685729886332e-01
4.488136022716029405e-01,-1.626861377732052860e-01
6.757292303602866479e-01,5.439605222345644808e-01
3.154690839015424353e-01,2.854260397420119721e-01
-3.478494808150737194e-01,-9.699112734034308625e-01
3.777437322613409754e-02,1.047326875025269555e+00
4.282081349653738545e-01,9.395744040563440702e-01
5.135382803266410612e-01,3.700259812279556304e-02
-3.423040142661557539e-01,9.247728777311811088e-01
2.206195583948130506e-03,-4.766026423730196360e-01
-2.957118845567230925e-01,4.218067934516040451e-01
-5.570520517251600356e-01,9.315538452431992855e-01
-1.279849565373109010e-01,-3.984532343246218189e-01
-3.742634448496136024e-01,-3.627226092110074074e-01
1.117284958870710804e-01,-1.039200141726267734e+00
9.109690245312745960e-01,1.058071213298403118e-01
4.007155256637680574e-01,2.884597322580060297e-01
9.076537498036093554e-01,-4.200175724709077629e-01
-4.432666654820342500e-01,-2.158950964630678426e-01
8.586517184443092088e-01,5.212570659691722064e-01
-1.711969463445404127e-01,-5.068822176242868682e-01
-9.697827781294667826e-01,-1.638770501723107731e-01
-4.434215313587370200e-01,-8.502833873399209264e-01
4.616298181163248637e-01,-8.636744673303912989e-02
4.289277528424003116e-01,-9.153547170966777058e-01
-1.108104521745716387e+00,-5.652717128214455183e-02
4.707364508921982327e-01,-1.290275783156417944e-02
1.537806481640913991e-01,1.018115418403690020e+00
9.216064493129020319e-01,3.164872849482656125e-01
1.213066333948656372e-01,-4.449065667449055295e-01
3.225726130093591326e-01,-9.623042182459263794e-01
-2.008064198418987867e-01,4.136138580329936087e-01
-4.623149770088021970e-01,1.225887996410227332e-01
8.834123003694351883e-01,4.133509788227458515e-01
-8.718993520388624852e-01,2.674724166118845892e-01
-2.164583938373968175e-01,-9.890361423038622757e-01
-1.397979267992127406e-01,-4.848695203629785899e-01
3.976232919460234161e-01,-1.865656499608069341e-01
-2.805672524298180592e-01,-4.962798888166962685e-01
2.647092472697341048e-01,9.525844992993990346e-01
-3.827382544456872093e-01,9.002332812440879684e-01
9.041042422415339619e-01,3.969483997783110896e-01
-8.294474690518156557e-01,5.101377235866910720e-01
-3.949202029375059597e-01,3.596525876014189382e-01
1.021489603421822795e-01,-5.736358378106277689e-01
